Number,Name,Form,Type 1,Type 2,HP,Attack,Defense,Sp.Attack,Sp.Defense,Speed,Color,Generation,Gender Rate,Height,Weight,Shape,Form Order,Dex Entry,PokeApi Id,Ability 1,Ability 2,Hidden Ability,Title
6,Charizard,Gigantamax Charizard,Fire,Flying,78,84,78,109,85,100,Red,8,1,28.0,9999.99,Upright,3,"The flame inside its body burns hotter than 3,600 degrees Fahrenheit. When Charizard roars, that temperature climbs even higher.",10196,Blaze,,Solar Power,Flame Pokémon
7,Squirtle,,Water,,44,48,65,50,64,43,Blue,1,1,0.5,9.0,Upright,0,"When it feels threatened, it draws its limbs inside
its shell and sprays water from its mouth.",7,Torrent,,Rain Dish,Tiny Turtle Pokémon
8,Wartortle,,Water,,59,63,80,65,80,58,Blue,1,1,1.0,22.5,Upright,0,"It cleverly controls its furry ears and tail to
maintain its balance while swimming.",8,Torrent,,Rain Dish,Turtle Pokémon
9,Blastoise,,Water,,79,83,100,85,105,78,Blue,1,1,1.6,85.5,Upright,0,"The rocket cannons on its shell fire jets of water
capable of punching holes through thick steel.",9,Torrent,,Rain Dish,Shellfish Pokémon
9,Blastoise,Mega Blastoise,Water,,79,103,120,135,115,78,Blue,6,1,1.6,101.1,Upright,1,The cannon on its back is as powerful as a tank gun. Its tough legs and back enable it to withstand the recoil from firing the cannon.,10036,Mega Launcher,,,Shellfish Pokémon
9,Blastoise,Gigantamax Blastoise,Water,,79,83,100,85,105,78,Blue,8,1,25.0,9999.99,Upright,2,Water fired from this Pokémon's central main cannon has enough power to blast a hole into a mountain.,10197,Torrent,,Rain Dish,Shellfish Pokémon
10,Caterpie,,Bug,,45,30,35,20,20,45,Green,1,4,0.3,2.9,Armor,0,"Its short feet are tipped with suction pads that
enable it to tirelessly climb slopes and walls.",10,Shield Dust,,Run Away,Worm Pokémon
11,Metapod,,Bug,,50,20,55,25,25,30,Green,1,4,0.7,9.9,Squiggle,0,"Even though it is encased in a sturdy shell,
the body inside is tender. It can’t withstand a
harsh attack.",11,Shed Skin,,,Cocoon Pokémon
12,Butterfree,,Bug,Flying,60,45,50,90,80,70,White,1,4,1.1,32.0,Bug wings,0,"It collects honey every day. It rubs honey onto
the hairs on its legs to carry it back to its nest.",12,Compound Eyes,,Tinted Lens,Butterfly Pokémon
12,Butterfree,Gigantamax Butterfree,Bug,Flying,60,45,50,90,80,70,White,8,4,17.0,9999.99,Bug wings,1,"Once it has opponents trapped in a tornado that could blow away a 10-ton truck, it finishes them off with its poisonous scales.",10198,Compound Eyes,,Tinted Lens,Butterfly Pokémon
13,Weedle,,Bug,Poison,40,35,30,20,20,50,Brown,1,4,0.3,3.2,Armor,0,"Beware of the sharp stinger on its head. It hides
in grass and bushes where it eats leaves.",13,Shield Dust,,Run Away,Hairy Bug Pokémon
14,Kakuna,,Bug,Poison,45,25,50,25,25,35,Yellow,1,4,0.6,10.0,Squiggle,0,"Able to move only slightly. When endangered, it
may stick out its stinger and poison its enemy.",14,Shed Skin,,,Cocoon Pokémon
15,Beedrill,,Bug,Poison,65,90,40,45,80,75,Yellow,1,4,1.0,29.5,Bug wings,0,"It has three poisonous stingers on its
forelegs and its tail. They are used to jab
its enemy repeatedly.",15,Swarm,,Sniper,Poison Bee Pokémon
15,Beedrill,Mega Beedrill,Bug,Poison,65,150,40,15,80,145,Yellow,6,4,1.4,40.5,Bug wings,1,"Its legs have become poison stingers. It stabs its prey repeatedly with the stingers on its limbs, dealing the final blow with the stinger on its rear.",10090,Adaptability,,,Poison Bee Pokémon
16,Pidgey,,Normal,Flying,40,45,40,35,35,56,Brown,1,4,0.3,1.8,Wings,0,"Very docile. If attacked, it will often kick up
sand to protect itself rather than fight back.",16,Keen Eye,Tangled Feet,Big Pecks,Tiny Bird Pokémon
17,Pidgeotto,,Normal,Flying,63,60,55,50,50,71,Brown,1,4,1.1,30.0,Wings,0,"This Pokémon is full of vitality. It constantly flies
around its large territory in search of prey.",17,Keen Eye,Tangled Feet,Big Pecks,Bird Pokémon
18,Pidgeot,,Normal,Flying,83,80,75,70,70,101,Brown,1,4,1.5,39.5,Wings,0,"This Pokémon flies at Mach 2 speed,
seeking prey. Its large talons are feared
as wicked weapons.",18,Keen Eye,Tangled Feet,Big Pecks,Bird Pokémon
18,Pidgeot,Mega Pidgeot,Normal,Flying,83,80,80,135,80,121,Brown,6,4,2.2,50.5,Wings,1,"With its muscular strength now greatly increased, it can fly continuously for two weeks without resting.",10175,No Guard,,,Bird Pokémon
19,Rattata,,Normal,,30,56,35,25,35,72,Purple,1,4,0.3,3.5,Quadruped,0,"Will chew on anything with its fangs. If you
see one, you can be certain that 40 more
live in the area.",19,Run Away,Guts,Hustle,Mouse Pokémon
19,Rattata,Alolan Rattata,Dark,Normal,30,56,35,25,35,72,Black,7,4,0.3,3.8,Quadruped,1,"Its whiskers provide it with a keen sense of smell, enabling it to pick up the scent of hidden food and locate it instantly.",10091,Gluttony,Hustle,Thick Fat,Mouse Pokémon
20,Raticate,,Normal,,55,81,60,50,70,97,Brown,1,4,0.7,18.5,Quadruped,0,"Its hind feet are webbed. They act as flippers,
so it can swim in rivers and hunt for prey.",20,Run Away,Guts,Hustle,Mouse Pokémon
20,Raticate,Alolan Raticate,Dark,Normal,75,71,70,40,80,77,Black,7,4,0.7,25.5,Quadruped,1,"It makes its Rattata underlings gather food for it, dining solely on the most nutritious and delicious fare.",10093,Gluttony,Hustle,Thick Fat,Mouse Pokémon
21,Spearow,,Normal,Flying,40,60,30,31,31,70,Brown,1,4,0.3,2.0,Wings,0,"Inept at flying high. However, it can fly around
very fast to protect its territory.",21,Keen Eye,,Sniper,Tiny Bird Pokémon
22,Fearow,,Normal,Flying,65,90,65,61,61,100,Brown,1,4,1.2,38.0,Wings,0,"A Pokémon that dates back many years. If it
senses danger, it flies high and away, instantly.",22,Keen Eye,,Sniper,Beak Pokémon
23,Ekans,,Poison,,35,60,44,40,54,55,Purple,1,4,2.0,6.9,Squiggle,0,"The older it gets, the longer it grows. At night, it
wraps its long body around tree branches to rest.",23,Intimidate,Shed Skin,Unnerve,Snake Pokémon
24,Arbok,,Poison,,60,95,69,65,79,80,Purple,1,4,3.5,65.0,Squiggle,0,"The frightening patterns on its belly have been
studied. Six variations have been confirmed.",24,Intimidate,Shed Skin,Unnerve,Cobra Pokémon
25,Pikachu,,Electric,,35,55,40,50,50,90,Yellow,1,4,0.4,6.0,Quadruped,0,"Possesses cheek sacs in which it stores electricity. This clever
forest-dweller roasts tough berries with an electric shock before
consuming them.",25,Static,,Lightning Rod,Mouse Pokémon
25,Pikachu,Partner Pikachu,Electric,,45,80,50,75,60,120,Yellow,8,4,0.4,6.0,Quadruped,1,"This forest-dwelling Pokémon stores electricity in its cheeks, so you'll feel a tingly shock if you touch",10158,Static,,Lightning Rod,Mouse Pokémon
25,Pikachu,Cosplay Pikachu,Electric,,45,80,50,75,60,120,Yellow,6,4,0.4,6.0,Quadruped,2,"This forest-dwelling Pokémon stores electricity in its cheeks, so you'll feel a tingly shock if you touch",10085,Static,,Lightning Rod,Mouse Pokémon
25,Pikachu,Pikachu Rock Star,Electric,,45,80,50,75,60,120,Yellow,6,4,0.4,6.0,Quadruped,3,"This forest-dwelling Pokémon stores electricity in its cheeks, so you'll feel a tingly shock if you touch",10080,Static,,Lightning Rod,Mouse Pokémon
25,Pikachu,Pikachu Belle,Electric,,45,80,50,75,60,120,Yellow,6,4,0.4,6.0,Quadruped,4,"This forest-dwelling Pokémon stores electricity in its cheeks, so you'll feel a tingly shock if you touch",10081,Static,,Lightning Rod,Mouse Pokémon
25,Pikachu,Pikachu Pop Star,Electric,,45,80,50,75,60,120,Yellow,6,4,0.4,6.0,Quadruped,5,"This forest-dwelling Pokémon stores electricity in its cheeks, so you'll feel a tingly shock if you touch",10082,Static,,Lightning Rod,Mouse Pokémon
25,Pikachu,"Pikachu, Ph.D",Electric,,45,80,50,75,60,120,Yellow,6,4,0.4,6.0,Quadruped,6,"This forest-dwelling Pokémon stores electricity in its cheeks, so you'll feel a tingly shock if you touch",10083,Static,,Lightning Rod,Mouse Pokémon
25,Pikachu,Pikachu Libre,Electric,,45,80,50,75,60,120,Yellow,6,4,0.4,6.0,Quadruped,7,"This forest-dwelling Pokémon stores electricity in its cheeks, so you'll feel a tingly shock if you touch",10084,Static,,Lightning Rod,Mouse Pokémon
25,Pikachu,Original Cap Pikachu,Electric,,45,80,50,75,60,120,Yellow,7,4,0.4,6.0,Quadruped,8,This Pikachu is wearing its Trainer's cap. The cap is proof that the two traveled across many regions together.,10094,Static,,Lightning Rod,Mouse Pokémon
25,Pikachu,Hoenn Cap Pikachu,Electric,,45,80,50,75,60,120,Yellow,7,4,0.4,6.0,Quadruped,9,The cap this Pikachu wears is filled with memories of this Pokémon and its partner traveling across the Hoenn region together.,10095,Static,,Lightning Rod,Mouse Pokémon
25,Pikachu,Sinnoh Cap Pikachu,Electric,,45,80,50,75,60,120,Yellow,7,4,0.4,6.0,Quadruped,10,The cap this Pikachu wears is filled with memories of this Pokémon and its partner traveling across the Sinnoh region together.,10096,Static,,Lightning Rod,Mouse Pokémon
25,Pikachu,Unova Cap Pikachu,Electric,,45,80,50,75,60,120,Yellow,7,4,0.4,6.0,Quadruped,11,The cap this Pikachu wears is filled with memories of this Pokémon and its partner traveling across the Unova region together.,10097,Static,,Lightning Rod,Mouse Pokémon
25,Pikachu,Kalos Cap Pikachu,Electric,,45,80,50,75,60,120,Yellow,7,4,0.4,6.0,Quadruped,12,The cap this Pikachu wears is filled with memories of this Pokémon and its partner traveling across the Kalos region together.,10098,Static,,Lightning Rod,Mouse Pokémon
25,Pikachu,Alola Cap Pikachu,Electric,,45,80,50,75,60,120,Yellow,8,4,0.4,6.0,Quadruped,13,The cap this Pikachu wears is filled with memories of this Pokémon and its partner traveling across the Alola region together.,10099,Static,,Lightning Rod,Mouse Pokémon
25,Pikachu,Partner Cap Pikachu,Electric,,45,80,50,75,60,120,Yellow,8,4,0.4,6.0,Quadruped,14,This Pikachu wears its partner's cap—proof of the strong bond Pikachu and its partner formed as the two overcame many hardships together.,10148,Static,,Lightning Rod,Mouse Pokémon
25,Pikachu,World Cap Pikachu,Electric,,45,80,50,75,60,120,Yellow,8,4,0.4,6.0,Quadruped,15,The cap this Pikachu wears is filled with memories of this Pokémon and its partner traveling across the world together.,10160,Static,,Lightning Rod,Mouse Pokémon
25,Pikachu,Gigantamax Pikachu,Electric,,45,80,50,75,60,120,Yellow,8,4,21.0,9999.99,Quadruped,15,"When it smashes its opponents with its bolt-shaped tail, it delivers a surge of electricity equivalent to a lightning strike.",10199,Static,,Lightning Rod,Mouse Pokémon
26,Raichu,,Electric,,60,90,55,90,80,110,Yellow,1,4,0.8,30.0,Upright,0,"It can discharge bursts of electricity exceeding 100,000 volts—
a single strike with that amount of power would incapacitate one
of the Copperajah of my homeland.",26,Static,,Lightning Rod,Mouse Pokémon
26,Raichu,Alolan Raichu,Electric,Psychic,60,85,50,95,85,110,Brown,7,4,0.7,21.0,Upright,1,This Pokémon rides on its tail while it uses its psychic powers to levitate. It attacks with star-shaped thunderbolts.,10100,Surge Surfer,,,Mouse Pokémon
27,Sandshrew,,Ground,,50,75,85,20,30,40,Yellow,1,4,0.6,12.0,Upright,0,"It burrows into the ground to create its nest. If
hard stones impede its tunneling, it uses its sharp
claws to shatter them and then carries on digging.",27,Sand Veil,,Sand Rush,Mouse Pokémon
27,Sandshrew,Alolan Sandshrew,Ice,Steel,50,75,90,10,35,40,White,7,4,0.7,40.0,Upright,1,"An ancient tradition of Alolan festivals, still carried on to this day, is a competition to slide Sandshrew across ice as far as one can.",10101,Snow Cloak,,Slush Rush,Mouse Pokémon
28,Sandslash,,Ground,,75,100,110,45,55,65,Yellow,1,4,1.0,29.5,Upright,0,"It climbs trees by hooking on with its sharp claws.
Sandslash shares the berries it gathers, dropping
them down to Sandshrew waiting below the tree.",28,Sand Veil,,Sand Rush,Mouse Pokémon
28,Sandslash,Alolan Sandslash,Ice,Steel,75,100,120,25,65,65,Blue,7,4,1.2,55.0,Upright,1,This Pokémon’s steel spikes are sheathed in ice. Stabs from these spikes cause deep wounds and severe frostbite as well.,10102,Snow Cloak,,Slush Rush,Mouse Pokémon
29,Nidoran?,,Poison,,55,47,52,40,40,41,Blue,1,8,0.4,7.0,Quadruped,0,"It uses its hard incisor teeth to crush and eat
berries. The tip of a female Nidoran’s horn is a
bit more rounded than the tip of a male’s horn.",29,Poison Point,Rivalry,Hustle,Poison Pin Pokémon
30,Nidorina,,Poison,,70,62,67,55,55,56,Blue,1,8,0.8,20.0,Quadruped,0,"If the group is threatened, these Pokémon will
band together to assault enemies with a chorus
of ultrasonic waves.",30,Poison Point,Rivalry,Hustle,Poison Pin Pokémon
31,Nidoqueen,,Poison,Ground,90,92,87,75,85,76,Blue,1,8,1.3,60.0,Upright,0,"It pacifies offspring by placing them in the gaps
between the spines on its back. The spines will
never secrete poison while young are present.",31,Poison Point,Rivalry,Sheer Force,Drill Pokémon
32,Nidoran?,,Poison,,46,57,40,40,40,50,Purple,1,0,0.5,9.0,Quadruped,0,"Small but brave, this Pokémon will hold its
ground and even risk its life in battle to protect
the female it’s friendly with.",32,Poison Point,Rivalry,Hustle,Poison Pin Pokémon
33,Nidorino,,Poison,,61,72,57,55,55,65,Purple,1,0,0.9,19.5,Quadruped,0,"It’s nervous and quick to act aggressively.
The potency of its poison increases along with
the level of adrenaline present in its body.",33,Poison Point,Rivalry,Hustle,Poison Pin Pokémon
34,Nidoking,,Poison,Ground,81,102,77,85,75,85,Purple,1,0,1.4,62.0,Upright,0,"Nidoking prides itself on its strength. It’s forceful
and spirited in battle, making use of its thick tail
and diamond-crushing horn.",34,Poison Point,Rivalry,Sheer Force,Drill Pokémon
35,Clefairy,,Fairy,,70,45,48,60,65,35,Pink,1,6,0.6,7.5,Upright,0,"It can be found in quiet mountain areas on a full moon's night.
Its dancing and its tiny, faintly glowing wings confer upon it a
lovely fairylike quality.",35,Cute Charm,Magic Guard,Friend Guard,Fairy Pokémon
36,Clefable,,Fairy,,95,70,73,95,90,60,Pink,1,6,1.3,40.0,Upright,0,"Legend says that on clear, quiet nights, it listens for the voices
of its kin living on the moon. I, too, often think of my homeland,
so far away.",36,Cute Charm,Magic Guard,Unaware,Fairy Pokémon
37,Vulpix,,Fire,,38,41,40,50,65,65,Brown,1,6,0.6,9.9,Quadruped,0,"In its belly burns a fire, which Vulpix spits out in the form of
fireballs. When young, this Pokémon has but one white tail.
As the Pokémon matures, this single tail splits into six.",37,Flash Fire,,Drought,Fox Pokémon
37,Vulpix,Alolan Vulpix,Ice,,38,41,40,50,65,65,White,7,6,0.6,9.9,Quadruped,1,"In hot weather, this Pokémon makes ice shards with its six tails and sprays them around to cool itself off.",10103,Snow Cloak,,Snow Warning,Fox Pokémon
38,Ninetales,,Fire,,73,76,75,81,100,100,Yellow,1,6,1.1,19.9,Quadruped,0,"The coat of gleaming golden fur is quite magnificent.
This species is said to store sacred power in its nine long tails
and to live for a millennium.",38,Flash Fire,,Drought,Fox Pokémon
38,Ninetales,Alolan Ninetales,Ice,Fairy,73,67,75,81,100,109,Blue,7,6,1.1,19.9,Quadruped,1,It creates drops of ice in its coat and showers them over its enemies. Anyone who angers it will be frozen stiff in an instant.,10104,Snow Cloak,,Snow Warning,Fox Pokémon
39,Jigglypuff,,Normal,Fairy,115,45,20,45,25,20,Pink,1,6,0.5,5.5,Humanoid,0,"By freely changing the wavelength of its voice,
Jigglypuff sings a mysterious melody sure to
make any listener sleepy.",39,Cute Charm,Competitive,Friend Guard,Balloon Pokémon
40,Wigglytuff,,Normal,Fairy,140,70,45,85,50,45,Pink,1,6,1.0,12.0,Humanoid,0,"It’s proud of its fur, which is fine and delicate.
In particular, the curl on its forehead has a
texture that’s perfectly heavenly.",40,Cute Charm,Competitive,Frisk,Balloon Pokémon
41,Zubat,,Poison,Flying,40,45,35,30,40,55,Purple,1,4,0.8,7.5,Wings,0,"Makes its home in gloomy caves. Atrophied eyes have left this
Pokémon blind, so it scans its surroundings via sound waves that
it emits from its mouth as it flies.",41,Inner Focus,,Infiltrator,Bat Pokémon
42,Golbat,,Poison,Flying,75,80,70,65,75,90,Purple,1,4,1.6,55.0,Wings,0,"It sinks its sharp fangs into other creatures and slurps up their
blood. A closer look at the fangs reveals that they are hollow
and akin to straws.",42,Inner Focus,,Infiltrator,Bat Pokémon
43,Oddish,,Grass,Poison,45,50,55,75,65,30,Blue,1,4,0.5,5.4,Legs,0,"During the day, it stays in the cold underground
to avoid the sun. It grows by bathing in moonlight.",43,Chlorophyll,,Run Away,Weed Pokémon
44,Gloom,,Grass,Poison,60,65,70,85,75,40,Blue,1,4,0.8,8.6,Humanoid,0,"What appears to be drool is actually sweet honey.
It is very sticky and clings stubbornly if touched.",44,Chlorophyll,,Stench,Weed Pokémon
45,Vileplume,,Grass,Poison,75,80,85,110,90,50,Red,1,4,1.2,18.6,Humanoid,0,"The larger its petals, the more toxic pollen it
contains. Its big head is heavy and hard to hold up.",45,Chlorophyll,,Effect Spore,Flower Pokémon
46,Paras,,Bug,Grass,35,70,55,45,55,25,Red,1,4,0.3,5.4,Armor,0,"Sometimes seen at the foot of trees in humid forests.
The mushrooms on its back—called tochukaso—are not present
on infant specimens and instead emerge as Paras matures.",46,Effect Spore,Dry Skin,Damp,Mushroom Pokémon
47,Parasect,,Bug,Grass,60,95,80,60,80,30,Red,1,4,1.0,29.5,Armor,0,"Mushroom-lacking specimens of this Pokémon lie unmoving in
the forest, lending credence to the hypothesis that the large
mushroom is in control of Parasect's actions.",47,Effect Spore,Dry Skin,Damp,Mushroom Pokémon
48,Venonat,,Bug,Poison,60,55,50,40,55,45,Purple,1,4,1.0,30.0,Humanoid,0,"Its large eyes act as radar. In a bright place, you
can see that they are clusters of many tiny eyes.",48,Compound Eyes,Tinted Lens,Run Away,Insect Pokémon
49,Venomoth,,Bug,Poison,70,65,60,90,75,90,Purple,1,4,1.5,12.5,Bug wings,0,"The powdery scales on its wings are hard to
remove from skin. They also contain poison
that leaks out on contact.",49,Shield Dust,Tinted Lens,Wonder Skin,Poison Moth Pokémon
50,Diglett,,Ground,,10,55,25,35,45,95,Brown,1,4,0.2,0.8,Blob,0,"It burrows through the ground at a shallow depth.
It leaves raised earth in its wake, making it easy
to spot.",50,Sand Veil,Arena Trap,Sand Force,Mole Pokémon
50,Diglett,Alolan Diglett,Ground,Steel,10,55,30,35,45,90,Brown,7,4,0.2,1.0,Blob,1,The things growing from its head are whiskers that have become metallic. Diglett communicates with its comrades by waving them.,10105,Sand Veil,Tangling Hair,Sand Force,Mole Pokémon
51,Dugtrio,,Ground,,35,100,50,50,70,120,Brown,1,4,0.7,33.3,Heads,0,"These Diglett triplets dig over 60 miles below sea
level. No one knows what it’s like underground.",51,Sand Veil,Arena Trap,Sand Force,Mole Pokémon
51,Dugtrio,Alolan Dugtrio,Ground,Steel,35,100,60,50,70,110,Brown,7,4,0.7,66.6,Heads,1,"Its metallic whiskers are heavy, so it’s not very fast, but it has the power to dig through even the hardest bedrock.",10106,Sand Veil,Tangling Hair,Sand Force,Mole Pokémon
52,Meowth,,Normal,,40,45,35,40,40,90,Yellow,1,4,0.4,4.2,Quadruped,0,"It loves to collect shiny things. If it’s in a good
mood, it might even let its Trainer have a look
at its hoard of treasures.",52,Pickup,Technician,Unnerve,Scratch Cat Pokémon
52,Meowth,Alolan Meowth,Dark,,40,35,35,50,40,90,Blue,7,4,0.4,4.2,Quadruped,1,"Deeply proud and keenly smart, this Pokémon moves with cunning during battle and relentlessly attacks enemies' weak points.",10107,Pickup,Technician,Rattled,Scratch Cat Pokémon
52,Meowth,Galarian Meowth,Steel,,50,65,55,40,40,40,Brown,8,4,0.4,7.5,Quadruped,2,"These daring Pokémon have coins on their foreheads. Darker coins are harder, and harder coins garner more respect among Meowth.",10161,Pickup,Tough Claws,Unnerve,Scratch Cat Pokémon
52,Meowth,Gigantamax Meowth,Steel,,50,65,55,40,40,40,Yellow,8,4,33.0,9999.99,Quadruped,3,Its body has grown incredibly long and the coin on its forehead has grown incredibly large—all thanks to Gigantamax power.,10200,Pickup,Technician,Unnerve,Scratch Cat Pokémon
53,Persian,,Normal,,65,70,60,65,65,115,Yellow,1,4,1.0,32.0,Quadruped,0,"Its elegant and refined behavior clashes with that
of the barbaric Perrserker. The relationship
between the two is one of mutual disdain.",53,Limber,Technician,Unnerve,Classy Cat Pokémon
53,Persian,Alolan Persian,Dark,,65,60,60,75,65,115,Blue,7,4,1.1,33.0,Quadruped,1,"The round face of Alolan Persian is considered to be a symbol of prosperity in the Alola region, so these Pokémon are very well cared for.",10108,Fur Coat,Technician,Rattled,Classy Cat Pokémon
54,Psyduck,,Water,,50,52,48,65,50,55,Yellow,1,4,0.8,19.6,Upright,0,"Suffers perpetual headaches. If the agony grows too great,
Psyduck's latent power erupts, contrary to Psyduck's intent.
Ergo, I am exploring ways to ease the pain.",54,Damp,Cloud Nine,Swift Swim,Duck Pokémon
55,Golduck,,Water,,80,82,78,95,80,85,Blue,1,4,1.7,76.6,Upright,0,"Its body is strong, and it has webbing on its hands and feet.
Golduck can swim easily through rough seas, clawing its way
through the high waves.",55,Damp,Cloud Nine,Swift Swim,Duck Pokémon
56,Mankey,,Fighting,,40,80,35,35,45,70,Brown,1,4,0.5,28.0,Upright,0,"An agile Pokémon that lives in trees. It angers
easily and will not hesitate to attack anything.",56,Vital Spirit,Anger Point,Defiant,Pig Monkey Pokémon
57,Primeape,,Fighting,,65,105,60,60,70,95,Brown,1,4,1.0,32.0,Upright,0,"It stops being angry only when nobody else
is around. To view this moment is very difficult.",57,Vital Spirit,Anger Point,Defiant,Pig Monkey Pokémon
58,Growlithe,,Fire,,55,70,45,70,50,60,Brown,1,2,0.7,19.0,Quadruped,0,It's very friendly and faithful to people. It will try to repel enemies by barking and biting.,58,Intimidate,Flash Fire,Justified,Puppy Pokémon
58,Growlithe,Hisuian Growlithe,Fire,Rock,60,75,45,65,50,55,Brown,8,2,0.8,22.7,Quadruped,1,They patrol their territory in pairs. The igneous rock components in the fur of this species are the result of volcanic activity in its habitat.,10229,Intimidate,Flash Fire,Rock Head,Scout Pokémon
59,Arcanine,,Fire,,90,110,80,100,80,95,Brown,1,2,1.9,155.0,Quadruped,0,Its proud and regal appearance has captured the hearts of people since long ago.,59,Intimidate,Flash Fire,Justified,Legendary Pokémon
59,Arcanine,Hisuian Arcanine,Fire,Rock,95,115,80,95,80,90,Brown,8,2,2.0,168.0,Quadruped,1,"Snaps at its foes with fangs cloaked in blazing flame. Despite its bulk, it deftly feints every which way, leading opponents on a deceptively merry chase as it all but dances around them.",10230,Intimidate,Flash Fire,Rock Head,Legendary Pokémon
60,Poliwag,,Water,,40,50,40,40,40,90,Blue,1,4,0.6,12.4,Legs,0,"In rivers with fast-flowing water, this Pokémon will
cling to a rock by using its thick lips, which act
like a suction cup.",60,Water Absorb,Damp,Swift Swim,Tadpole Pokémon
61,Poliwhirl,,Water,,65,65,65,50,50,90,Blue,1,4,1.0,20.0,Humanoid,0,"This Pokémon’s sweat is a slimy mucus. When
captured, Poliwhirl can slither from its enemies’
grasp and escape.",61,Water Absorb,Damp,Swift Swim,Tadpole Pokémon
62,Poliwrath,,Water,Fighting,90,95,95,70,90,70,Blue,1,4,1.3,54.0,Humanoid,0,"Poliwrath is skilled at both swimming and martial
arts. It uses its well-trained arms to dish out
powerful punches.",62,Water Absorb,Damp,Swift Swim,Tadpole Pokémon
63,Abra,,Psychic,,25,20,15,105,55,90,Brown,1,2,0.9,19.5,Upright,0,"Spends 18 hours of the day sleeping. Even while asleep, Abra
can control its psychic powers—should danger approach, the
Pokémon will simply teleport away.",63,Synchronize,Inner Focus,Magic Guard,Psi Pokémon
64,Kadabra,,Psychic,,40,35,30,120,70,105,Brown,1,2,1.3,56.5,Upright,0,"There are rumors that a child with mystical powers became
a Kadabra; however, this remains unverified. I suspect that
the spoon Kadabra holds enhances its brain waves.",64,Synchronize,Inner Focus,Magic Guard,Psi Pokémon
65,Alakazam,,Psychic,,55,50,45,135,95,120,Brown,1,2,1.5,48.0,Humanoid,0,"The longer Alakazam lives, the larger and heavier its head
becomes. Our tests have shown that the strength of its psychic
powers correlates positively to the weight of its head.",65,Synchronize,Inner Focus,Magic Guard,Psi Pokémon
65,Alakazam,Mega Alakazam,Psychic,,55,50,65,175,105,150,Brown,6,2,1.2,48.0,Humanoid,1,"It's adept at precognition. When attacks completely miss Alakazam, that's because it's seeing the future.",10037,Trace,,,Psi Pokémon
66,Machop,,Fighting,,70,80,50,35,35,35,Gray,1,2,0.8,19.5,Upright,0,"Though as small as a child, it has strength enough to easily throw
a well-built adult. Striving to become ever stronger, Machop
trains by carrying a Graveler on its shoulders.",66,Guts,No Guard,Steadfast,Superpower Pokémon
67,Machoke,,Fighting,,80,100,70,50,60,45,Gray,1,2,1.5,70.5,Humanoid,0,"A sturdy creature boasting a robust physique and boundless
stamina. Loves training above all else and voluntarily assists with
tasks such as construction and clearing land.",67,Guts,No Guard,Steadfast,Superpower Pokémon
